0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,3,2,1,1,7,0,2,2,1,5,6,4,2,3,3,2,3,2,5
3,2,2,2,1,2,4,5,2,3,1,6,6,2,5,4,3,1,2,3
10,0,10,35,20,20,20,20,25,25,15,30,20,25,5,15,10,15,5,10
2,1,3,3,6,0,2,2,2,2,2,2,2,7,0,2,3,4,1,5
4,3,3,2,4,3,2,0,4,1,2,3,6,2,4,3,1,5,3,1
3,2,5,3,4,1,1,6,2,4,4,7,1,2,4,4,3,1,1,4
20,20,35,5,10,10,10,40,15,15,40,5,25,10,30,20,15,20,20,5
7,0,2,3,1,2,6,3,4,3,2,4,3,6,5,2,1,2,5,2
2,4,5,2,6,3,1,2,1,0,5,6,2,2,1,2,1,7,0,3
30,20,20,10,10,5,10,10,15,10,15,5,5,20,20,10,25,15,15,30
3,3,5,1,1,1,3,2,2,0,3,3,3,3,2,2,3,6,4,2
2,4,3,2,0,3,2,1,4,1,3,2,1,3,3,4,4,3,2,1
1,3,0,0,6,1,4,0,4,2,2,3,2,0,4,0,6,4,5,6
5,0,1,5,1,2,6,4,3,3,3,4,0,0,5,4,2,1,5,3
2,1,7,2,3,4,7,3,4,7,4,3,2,2,1,3,4,0,1,1
4,3,0,4,2,1,2,2,1,1,6,1,1,2,4,3,2,7,3,3
4,5,1,3,1,1,3,7,2,3,0,3,5,2,4,3,3,4,3,5
4,4,4,4,2,3,9,7,5,5,5,0,4,2,1,2,6,1,2,1
2,3,4,4,3,2,3,0,2,1,1,2,5,0,3,6,0,2,6,1
1,3,1,1,3,1,4,4,2,3,6,5,8,3,1,3,7,2,0,3
4,1,1,3,2,1,2,2,2,3,4,3,1,3,3,2,3,3,2,2
2,3,2,4,4,1,5,2,3,1,0,0,1,3,4,4,2,3,6,5
7,3,2,3,0,2,4,5,2,0,4,1,2,7,2,4,4,3,0,5
4,4,7,1,1,1,1,1,0,3,6,3,1,2,1,3,3,0,2,2
3,5,3,2,2,4,4,2,5,1,2,6,3,7,1,4,3,1,3,1
6,4,2,3,3,1,4,3,3,2,1,2,0,2,0,4,2,1,5,2
4,2,0,5,2,4,3,2,4,5,0,0,4,2,3,5,4,3,0,5
3,2,3,3,3,5,1,3,0,3,9,2,3,3,3,3,2,3,0,4
5,2,0,4,4,3,5,3,2,2,9,4,2,2,8,4,2,2,4,3
2,3,2,6,1,5,4,3,2,6,2,2,3,2,2,1,4,1,1,6
5,7,2,4,5,1,3,4,2,2,2,6,1,1,4,0,0,3,6,5
2,5,2,4,6,5,6,0,3,2,2,9,2,4,2,5,3,3,4,3
2,4,2,2,4,3,2,1,4,4,4,4,1,2,4,1,3,1,2,5
1,0,3,2,5,3,4,5,3,2,4,3,4,2,6,4,4,1,1,1
4,0,6,1,1,4,5,5,4,6,5,3,2,4,4,2,2,1,2,2
20,30,15,10,40,10,5,15,0,25,15,30,25,15,15,30,0,20,25,25
3,6,1,5,4,3,0,5,2,4,2,3,1,5,2,3,1,6,2,1
2,2,1,2,3,2,6,3,2,2,3,2,3,1,1,2,1,0,1,1
4,2,3,3,4,4,4,3,2,4,1,0,3,4,4,3,2,2,3,3
2,2,0,4,3,3,4,3,2,1,1,4,6,2,1,3,2,3,4,7
2,3,5,1,4,1,4,6,3,4,2,1,4,6,2,1,2,3,0,3
1,0,3,1,7,3,1,3,6,3,1,0,1,1,0,5,3,4,6,3
1,0,4,3,3,4,2,6,6,4,1,4,5,4,6,0,2,4,5,4
0,2,8,5,4,0,5,1,1,6,5,1,2,5,1,2,8,0,3,4
2,6,0,2,6,3,5,6,2,6,5,3,2,8,3,3,6,4,5,1
5,4,2,3,6,2,3,2,4,4,2,1,3,2,2,2,3,5,2,3
4,2,1,7,6,3,6,3,6,2,4,2,1,5,2,2,3,2,5,4
1,1,2,3,3,1,3,3,4,1,3,2,1,1,2,4,3,7,0,5
1,4,3,4,2,1,4,0,4,3,5,4,3,1,0,4,2,5,3,2
4,5,2,3,3,4,0,4,5,1,1,2,2,2,4,3,2,1,3,1
3,1,3,0,4,3,1,2,2,2,1,3,4,5,3,3,2,3,3,3
5,3,8,5,4,5,2,2,5,2,4,6,1,2,7,3,5,5,3,3
3,2,1,7,3,2,2,3,3,1,2,3,4,3,0,2,2,2,4,2
4,4,1,2,1,3,7,2,3,2,5,1,2,7,5,4,5,4,2,4
3,5,4,3,3,2,3,4,2,2,4,2,3,4,2,6,3,3,7,2
1,5,2,4,6,1,3,3,1,2,2,3,3,3,3,3,5,0,2,0
2,0,3,1,5,3,2,3,4,5,5,3,4,2,4,0,1,6,2,4
2,5,6,6,2,1,6,6,4,2,3,2,5,3,1,0,3,6,3,4
5,1,4,3,4,2,2,7,5,4,1,3,1,4,2,5,2,5,8,2
4,1,2,4,0,3,5,4,2,2,2,7,2,1,6,5,3,4,1,3
1,5,4,2,7,3,2,3,4,1,2,2,4,2,2,2,1,4,1,3
4,2,3,2,4,2,4,3,3,1,0,3,3,1,2,2,4,1,5,3
2,1,1,6,2,4,5,5,2,2,2,6,7,3,1,4,2,7,3,3
10,3,4,5,0,1,2,3,3,5,1,7,6,4,4,1,3,1,1,0
2,1,2,5,2,2,3,0,3,3,0,0,4,4,2,2,1,3,3,6
10,20,0,15,5,20,5,10,5,15,10,25,25,25,15,30,15,25,20,20
0,3,3,2,3,1,3,1,5,4,6,5,0,3,2,2,2,2,3,2
2,0,5,1,5,3,3,1,3,3,1,4,6,3,2,4,6,4,4,3
3,2,5,2,2,4,2,3,2,0,4,4,4,3,4,5,0,3,5,1
6,3,1,3,4,4,3,4,5,2,7,1,1,3,4,1,1,5,2,1
2,1,5,2,3,3,0,2,0,3,3,0,4,2,3,2,2,4,4,3
8,3,3,7,3,2,2,2,1,1,3,4,2,3,4,5,4,3,7,1
1,6,3,2,7,3,6,5,1,2,6,2,4,4,4,4,2,4,5,2
4,2,6,3,4,1,1,2,1,3,6,6,3,2,3,1,6,3,2,5
3,2,3,2,3,0,3,5,3,4,4,5,4,1,1,3,7,1,2,5
0,2,4,2,2,4,4,6,3,4,3,2,0,7,2,7,4,4,4,3
1,3,3,2,3,2,3,1,7,3,5,6,1,2,3,5,2,1,5,5
3,4,3,3,2,1,1,4,3,1,2,0,5,1,0,0,0,3,2,3
2,8,1,2,1,0,3,1,3,3,1,3,2,5,3,1,0,0,3,10
2,6,4,5,4,1,0,2,5,0,2,3,3,2,2,5,5,5,3,2
0,6,2,2,2,3,4,1,2,3,3,7,5,2,5,4,4,1,4,1
2,2,3,3,3,4,2,5,0,2,3,5,5,3,1,1,2,5,1,1
0,6,4,5,1,2,2,2,2,4,4,1,1,2,0,3,4,1,3,4
3,3,2,2,1,2,2,3,3,4,1,5,0,2,1,2,3,2,2,2
4,5,2,5,2,1,2,5,2,3,5,4,1,4,2,1,5,9,3,8
2,3,5,4,1,6,5,4,5,1,0,2,1,4,2,6,3,4,6,2
4,1,3,7,3,1,3,4,5,5,2,5,4,3,2,1,3,5,4,2
4,2,5,3,0,2,3,1,0,2,4,3,6,3,5,1,3,0,5,2
20,20,15,20,20,15,10,20,10,10,20,10,20,30,20,20,35,20,20,20
10,20,25,10,30,30,10,15,20,10,5,20,10,25,15,15,20,10,20,0
15,5,25,20,25,10,0,10,10,10,15,35,5,15,25,10,20,15,25,10
0,25,10,5,10,15,15,25,15,5,15,15,5,15,15,10,35,10,30,5
4,0,2,4,4,1,4,3,0,3,5,1,5,0,5,5,1,3,2,5
2,1,3,2,0,1,4,2,5,1,0,2,3,0,3,5,1,2,4,3
4,1,2,2,1,1,3,3,4,7,5,3,2,4,4,3,5,3,3,3
1,6,3,1,2,4,3,3,1,5,5,4,6,1,2,0,4,2,2,4
4,3,2,5,5,9,1,4,5,1,5,7,6,3,5,1,3,1,3,1
3,0,3,3,2,5,4,2,3,1,2,2,3,3,1,1,5,6,1,2
3,5,1,3,3,3,3,5,3,4,6,4,8,3,4,1,5,2,2,3
4,1,3,2,5,2,3,7,4,2,2,5,5,2,2,0,9,5,4,4
1,3,4,2,2,4,4,5,3,2,4,0,4,3,3,1,3,3,5,2
3,1,5,1,1,4,3,3,4,3,0,4,2,5,4,3,5,3,5,3
5,3,4,3,1,1,3,4,3,1,1,5,4,4,3,5,5,4,1,2
15,25,5,10,15,20,20,30,20,45,15,25,25,20,10,20,15,15,15,20
3,4,0,1,3,2,1,2,2,4,0,4,1,1,3,0,5,4,6,1
20,15,20,0,25,25,5,15,20,10,25,10,15,5,40,5,5,5,5,15
2,5,5,1,1,4,5,2,4,4,8,4,2,2,3,2,3,3,5,4
4,3,3,2,2,3,0,3,3,4,4,1,3,2,3,3,3,4,7,6
7,3,3,3,3,1,6,1,4,7,3,1,2,4,3,2,6,5,3,2
10,15,25,5,0,5,10,15,10,5,15,20,10,20,25,0,15,15,20,10
3,5,3,3,5,5,4,4,4,2,2,1,4,6,2,4,3,2,4,1
2,2,4,4,2,1,1,1,0,7,2,1,3,6,4,2,4,3,1,3
2,1,2,7,5,5,8,0,4,3,8,1,2,1,2,6,5,2,3,4
2,3,0,6,2,3,1,4,4,3,3,4,4,1,4,3,2,5,1,4
2,2,3,3,5,3,7,3,4,6,0,2,2,2,4,4,1,6,3,6
2,2,3,4,4,5,1,2,3,0,4,2,1,0,2,3,1,6,4,4
4,6,0,2,3,4,0,5,3,7,4,1,1,4,4,2,2,4,3,3
2,3,1,5,2,3,1,2,5,4,1,1,3,1,3,2,1,2,4,2
0,4,6,4,2,2,5,3,1,3,1,3,4,3,5,5,0,1,2,3
1,1,1,4,4,2,2,4,2,2,2,2,2,2,6,0,3,4,1,5
2,4,3,5,3,2,3,1,6,1,3,5,4,2,5,1,1,1,5,3
7,1,3,6,5,5,4,2,10,5,3,6,3,6,3,3,2,2,1,3
3,0,5,2,1,3,5,0,3,4,5,3,2,1,1,3,1,4,7,3
1,7,5,3,3,0,3,5,4,7,3,1,1,10,5,1,3,2,2,4
3,2,2,1,1,1,2,2,4,1,1,2,4,0,3,2,0,1,3,1
4,2,3,3,3,2,2,5,2,3,4,6,2,0,3,6,2,5,2,1
5,5,3,0,4,4,2,3,3,4,4,6,2,4,4,4,0,4,4,0
3,0,4,3,5,1,4,2,3,3,6,1,2,5,1,1,5,4,5,2
