Square Meters,Year Built,Neighborhood Quality,Distance to Amenities,Number of Rooms,Lot Size,House Style,Local Economic Index,House Price
160.3960120742641,1972.4602332090749,Low,1.9066193192937118,7.836208279105888,879.7576868990692,Single Family,81.36772528736304,994.5458865736173
104.8381603931861,1984.4454159088205,Low,5.06849021518092,1.0707306488710155,725.7008234531313,Condo,124.65290039363896,-327.73408449945873
142.5097965416667,1985.3397632721105,Medium,2.5361376736124073,1.3286851591663473,1187.5970751691468,Condo,58.166666015035304,842.4608237583967
138.6885264795333,1955.5090446942268,Medium,3.722893123391041,4.037460786164492,685.3986597765338,Townhouse,62.20047083907187,1280.567352732759
97.00154161400131,1991.9073916373513,Low,3.3763040622875837,2.160886800310486,682.2562385003303,Townhouse,98.65101611670408,697.5372663553267
143.11893252419844,1937.2798342934996,Medium,4.044487188640687,8.08078370512386,799.7247990006222,Single Family,89.77120855112157,482.10018919936954
176.67913957786732,1976.120196125103,Medium,1.2602247837183373,3.451868419036261,186.2118445119085,Single Family,97.5700370834129,1151.4525010730072
139.54220451694775,1962.4704026007012,Medium,5.789700052540069,2.0975149992463065,785.6422883809075,Single Family,118.07068952178619,1737.1570288812147
132.60740605053454,1936.4171849684894,Low,4.019872712035111,5.246609770478479,822.7236956445315,Condo,101.11818245573401,1110.0726882233675
150.06451392376107,1949.3040680199188,Low,2.2708111862771374,4.98111456872343,632.3762891707786,Single Family,71.27966007099727,1266.7661791640771
110.33326068015468,1981.9175955174417,High,3.670059267066597,4.648751654037973,485.43152102495105,Single Family,94.73022237979045,1606.951733414181
170.4843219719131,1968.350577746798,High,1.3319660405915297,2.9242390398363356,1018.0834051735486,Single Family,76.3833907260533,110.41268471861645
168.84551206854036,1974.7109125422921,Low,3.0640499719997907,2.8444457643896626,861.2524067727204,Townhouse,130.13493588582256,1093.046679827079
142.9680450207107,1947.7871956747156,Low,1.5022763190977366,7.544369071341839,564.2738859489338,Single Family,99.74245837982204,2322.9576573835207
150.83317860156842,1947.5789152767682,Low,3.251609774585409,5.774424449055321,850.098806300593,Single Family,143.06647961199022,981.6892825225076
131.97753615670305,1985.9864268945255,Low,4.035788993520016,5.3298242846466435,722.1529987242675,Condo,97.79588433744841,1402.3530802623995
136.4112330676042,1953.8762302714563,Low,2.8576344415252564,2.7758239180465223,666.9762150309514,Single Family,72.63119329241785,1336.807312428489
177.9779234602749,1926.8785787554234,High,1.987654716543623,5.738811689944813,631.3041109942731,Single Family,179.60875578334256,-182.95250024079564
119.06248420335251,1969.6655188163056,High,6.384339366585151,5.98882052864562,917.2402536612328,Single Family,68.06430125137831,675.976615545143
151.76066611591182,1990.8878470642921,Low,3.247004331582766,4.380946025804358,702.8742658924044,Single Family,91.16507418360334,1870.7669990924028
116.86008759589058,1986.0249644572998,Low,4.318858766406399,2.917473356600541,499.0703706720669,Single Family,91.96023573588072,676.9795049704769
120.0792148395145,1912.015603947011,Low,4.166101366106998,0.23088685705929415,567.0403672339877,Townhouse,110.49752243841007,776.2860551724694
132.91335113796137,1952.712619095949,Low,4.896263143325368,0.130930466423276,383.75578271144036,Single Family,74.01150146591388,1838.53723157666
105.3718969632605,1976.8202901823481,High,2.3182484506628263,0.974556572880258,935.5413676276602,Condo,55.6813033396258,1105.466684230124
124.59964552502127,1957.9817578997176,Low,3.5501744312687706,2.8207786258340404,212.91364901691998,Single Family,111.52552282437196,1667.8283765834935
174.6049571351753,1959.306902743776,Low,1.9691139475685242,8.888310133144646,477.0745306531324,Single Family,66.50748324977167,2092.168948396528
100.51652136485124,1933.6709593042942,Low,1.820459259771237,5.174613504741834,750.2878672091194,Condo,108.47164099185315,1983.0203890500707
116.48522871239933,1951.3667380719235,Medium,3.3558873388508745,7.108479416939487,672.776899801396,Condo,106.42898754442923,1840.171341563071
120.90368347382726,1988.2004394868084,Medium,3.798280894737179,7.333357352959126,436.66693130465785,Single Family,102.15020104248981,2478.1830751798084
147.58945442794203,1941.8803585089038,Low,2.7289182825820046,1.247200434858241,496.4058264661504,Single Family,102.55200052494419,2366.011741724735
171.85405282805027,1993.0835286023744,Low,2.0043187397703086,2.4697475123421033,666.5121310296884,Single Family,156.09791353645153,1579.2109128595248
142.42309810731598,1968.6911201676849,Medium,1.3805915137962221,3.459335594642702,591.3912850441498,Single Family,158.19573221620198,1748.8270665897471
