Square Meters,Year Built,Neighborhood Quality,Distance to Amenities,Number of Rooms,Lot Size,House Style,Local Economic Index,House Price
194.59869618836103,1986,High,197.30661154540726,5,1174.538791732663,Single Family,112.90737064536157,1935.9736671565065
143.68297968424804,1985,Low,123.88683919195616,7,1078.3544278399725,Single Family,129.35374803308056,4579.8840308374365
215.56440830318684,1984,Medium,209.28756124360874,1,1107.5340076303676,Condo,128.24681461831324,3095.117054408928
197.49813963464084,1991,Medium,222.10512607635636,0,1228.8503717547312,Condo,109.6276340167086,215.90159465325723
195.04790774530255,1993,Medium,42.539393913136195,5,1242.633256835471,Single Family,101.773252053643,2608.192749145445
177.19513223791657,1989,Medium,14.269835965831106,6,1167.6950915452408,Townhouse,111.741067287336,686.2416996801753
195.7057903072841,1990,Medium,198.64599497246144,3,1150.393334537959,Single Family,138.26316773399708,1756.8063225661322
222.0953629321994,1990,Medium,197.97203891658555,6,1099.2301594893017,Single Family,143.41876598779612,3747.3294339430095
205.19494782762038,1984,High,80.76530482066315,2,1263.2415394805018,Townhouse,103.71408831760138,1658.7074619945583
198.50479084018392,1986,Low,156.9983396761184,2,1248.2082347480061,Single Family,112.57578308500813,2273.1486604029615
194.7873777272618,1983,Medium,186.60594514467655,1,1335.0099157115233,Single Family,104.4313556098921,1633.9109390848394
237.02136705041536,1986,Medium,189.21670392971805,2,1347.8163326606177,Condo,121.29843537495435,3350.245514805569
205.3174142087754,1984,Low,50.32473528661666,3,1324.5086607410549,Single Family,126.46661459630448,1482.6623448537318
218.85312310992526,1988,Medium,54.35562370673469,4,1260.1415351766857,Single Family,120.58189371979718,2195.5527069458353
231.49476995583993,1985,Medium,137.98498544895432,3,1270.5510532756798,Townhouse,119.91019662515514,3754.456675722933
229.66522118663966,1987,Low,200.81177135371837,4,1353.8008299783276,Single Family,126.46254368307835,1534.7313162506266
207.17230136899013,1984,Medium,184.8630903962194,0,1248.8449648707467,Single Family,109.26209438663724,2591.3882238712877
186.71234656259784,1980,Low,202.68458393048138,1,1290.2891352769038,Condo,101.67790848358077,2700.60503528116
187.9675462944109,1987,Medium,95.16560591679942,4,1121.3134943152504,Single Family,127.67015357823966,1303.3469563079227
202.0988094714201,1982,Medium,179.23080698477605,5,1080.721199389911,Condo,111.97860090543091,3510.598177572958
171.79955603386983,1986,Low,136.78667437078076,6,1142.1850662958946,Townhouse,96.49097618610104,2418.8841384397183
178.36371162050986,1982,High,83.49706269799998,2,1390.8766454571987,Townhouse,103.64095827789716,2604.4131448294047
217.51288595210306,1977,Medium,131.51648271447448,2,1333.280375131898,Townhouse,131.70088588971274,3243.0502367646436
201.49014126108293,1982,Low,145.4426898930368,4,1459.9279410468318,Condo,103.55757096895049,-422.1907385118766
218.52973231767533,1987,High,189.8657144523856,4,1256.25989630172,Townhouse,105.9271026995171,3369.8758225242655
195.1291329723053,1981,Medium,107.57448198509684,2,1100.1046346981902,Condo,143.6494265296694,2012.078689331018
187.57177777641334,1982,High,204.1462070872209,3,1206.436793902652,Townhouse,116.10613168544482,3056.0342663885012
